Time,t_start,t_end,Postmile (Abs),count,speed_mph,location
11:15,4500,4800,22.53,475,66.2,852.9502
11:15,4500,4800,22.23,448,59.2,370.1482
11:20,4800,5100,24.92,556,30.1,4699.2728
11:20,4800,5100,24.48,549,21.6,3991.1632
11:20,4800,5100,24.01,456,19.6,3234.7734
11:20,4800,5100,23.37,506,59,2204.7958
11:20,4800,5100,22.78,470,60.8,1255.2852
11:20,4800,5100,22.53,497,66.4,852.9502
11:20,4800,5100,22.23,442,58.4,370.1482
11:25,5100,5400,24.92,552,32.4,4699.2728
11:25,5100,5400,24.48,530,25.1,3991.1632
11:25,5100,5400,24.01,388,35.5,3234.7734
11:25,5100,5400,23.37,481,61.3,2204.7958
11:25,5100,5400,22.78,464,59.9,1255.2852
11:25,5100,5400,22.53,520,67,852.9502
11:25,5100,5400,22.23,433,58.1,370.1482
11:30,5400,5700,24.92,509,30.3,4699.2728
11:30,5400,5700,24.48,489,42,3991.1632
11:30,5400,5700,24.01,417,51.5,3234.7734
11:30,5400,5700,23.37,513,63.2,2204.7958
11:30,5400,5700,22.78,490,60.3,1255.2852
11:30,5400,5700,22.53,553,66.2,852.9502
11:30,5400,5700,22.23,446,57.5,370.1482
11:35,5700,6000,24.92,521,32,4699.2728
11:35,5700,6000,24.48,437,51.5,3991.1632
11:35,5700,6000,24.01,448,59.4,3234.7734
11:35,5700,6000,23.37,502,63.5,2204.7958
11:35,5700,6000,22.78,474,59.8,1255.2852
11:35,5700,6000,22.53,502,65.3,852.9502
11:35,5700,6000,22.23,488,57.1,370.1482
11:40,6000,6300,24.92,517,41.2,4699.2728
11:40,6000,6300,24.48,504,57.5,3991.1632
11:40,6000,6300,24.01,422,62,3234.7734
11:40,6000,6300,23.37,563,64,2204.7958
11:40,6000,6300,22.78,521,59.9,1255.2852
11:40,6000,6300,22.53,538,65.5,852.9502
11:40,6000,6300,22.23,463,57.1,370.1482
11:45,6300,6600,24.92,485,47.3,4699.2728
11:45,6300,6600,24.48,480,61.8,3991.1632
11:45,6300,6600,24.01,405,64.5,3234.7734
11:45,6300,6600,23.37,435,65.3,2204.7958
11:45,6300,6600,22.78,437,60.2,1255.2852
11:45,6300,6600,22.53,492,66.5,852.9502
11:45,6300,6600,22.23,448,58.6,370.1482
11:50,6600,6900,24.92,490,53.3,4699.2728
11:50,6600,6900,24.48,469,64.1,3991.1632
11:50,6600,6900,24.01,408,65.7,3234.7734
11:50,6600,6900,23.37,497,65.3,2204.7958
11:50,6600,6900,22.78,506,60.9,1255.2852
11:50,6600,6900,22.53,538,65.8,852.9502
11:50,6600,6900,22.23,515,58.4,370.1482
11:55,6900,7200,24.92,507,55.4,4699.2728
11:55,6900,7200,24.48,475,65.7,3991.1632
11:55,6900,7200,24.01,459,65.3,3234.7734
11:55,6900,7200,23.37,525,65.4,2204.7958
11:55,6900,7200,22.78,477,61.6,1255.2852
11:55,6900,7200,22.53,530,65.7,852.9502
11:55,6900,7200,22.23,476,58.9,370.1482
